email_index,priority,reasoning
415,1,"Promotional email with past deadline, no immediate action required"
416,1,Forwarded joke email with no actionable request
417,1,The email is a forwarded informational message with no clear action required
418,2,Requires legal coordination to decide on contract suspension
419,1,Informational email with no required action
420,3,Urgent financial/legal update requiring immediate attention
421,3,Urgent request for draft needed ASAP
422,1,"Promotional advertisement, no action required"
423,3,Urgent scheduling needed to avoid missing April deadline
424,2,Invitation requires RSVP but not urgent
426,1,"Informational daily summary, no action required"
427,1,Promotional spam with no actionable request
428,2,The email asks a question that requires a response
429,1,Informational guidance with no urgent action needed
430,1,Informational reply with no required action
431,1,"Informal casual request, no urgent action needed"
432,1,"Agenda is informational, no immediate action required"
434,2,Requires response to discuss draft order
435,1,"Informational alert about rate increase, no action required"
436,2,Requires a response to address contractual obligations
437,2,Request for contact information requires a response but is not urgent
439,1,"Informational stock news alert, no immediate action required"
440,1,"Spam advertisement, no action required"
441,1,Informational email with no action required
442,1,"Product announcement, no action needed"
443,2,Contains upcoming conference call details that need preparation
444,3,Potential personal safety threat requiring immediate attention
445,1,"Informational travel update, no action required"
448,1,Forwarded informational email with no clear action required
449,1,"Informational news broadcast, no action required"
450,1,Informal update with no required action
451,2,"Email contains a request to review a thesis, requiring a response but not urgent"
452,1,"Informational update about participant unavailability, no action needed"
453,2,"The email asks for a decision on meetings, requiring a response but not urgent"
454,2,Request to prepare a draft schedule requires a response
455,1,Informal update with no urgent action required
456,2,Needs clarification and response but not urgent
457,1,"Informational newsletter, no action required"
458,2,"Request for document review and proposed changes, requires a response but not urgent"
459,1,"Informational news about Enron, no action required"
460,1,The email is a forwarded informational note with no clear action required
461,1,"Informational list of articles, no action required"
462,1,Informational update with no immediate action required
463,1,Informational update with no required action
464,2,Request for detailed breakdown requires a response but is not urgent
465,3,Urgent operational request for gas movement today
467,2,Request to reissue a document requires a response
468,2,Needs clarification on attendee inclusion
469,1,Informational reply with no urgent action needed
470,1,Informational update with no urgent action required
471,1,"Promotional daily verse email, no action required"
472,1,Promotional spam with no required action
474,1,Promotional email with no required action
475,1,Informational FYI with no immediate action required
476,2,Request for transaction documents needs a response but no urgent deadline
477,1,No actionable request or content present
479,1,"Spam promotional content, no action required"
480,2,Needs a response but not time-sensitive
481,1,Informational forward with no action required
482,1,"Promotional email, no action required"
483,2,Requires response to confirm attendance before the scheduled call
484,2,Needs a response to assign reviewer before submission
485,1,"Informational newsletter, no action required"
486,2,Job application needs a response but is not urgent
487,1,Informational email with no required action
488,2,Request for comments and meeting scheduling
489,1,Email is informational about a past event with no required action
490,1,Informational update with no required action
491,1,Informational FYI with no required action
492,2,Request to coordinate negotiation requires a response
493,1,Promotional email with no required action
494,3,Meeting scheduled for tomorrow requires immediate attention
496,3,Harassing language requires immediate attention
497,1,"Informational update about volume change, no action required"
498,1,Informational FYI with no action required
499,1,"Informational, no action needed"
500,1,Informational welcome message with no required action
501,3,HourAhead schedule download failed requiring immediate manual intervention
502,1,Spam content with no actionable request
504,2,Needs response to address resource allocation and exposure concerns
506,1,Informational update with no required action
507,2,Needs scheduling confirmation for upcoming dates
508,1,Email is informational and does not require urgent action
509,1,"No actionable request, just a casual comment"
510,1,Promotional email with no urgent action required
511,1,The email is an informational update with no immediate action required
512,1,Informational email with no required action
513,1,Unsolicited message with no actionable request
514,1,Promotional spam with no required action
515,1,"Informational update, no action required"
516,1,"Informational receipt, no action required"
517,2,Request for legal opinion requires a response but is not urgent
519,1,Informational event announcement with no required action
520,1,Email is spam advertisement with no actionable request
521,1,Promotional conference announcement with no required action
522,3,Schedule download failed and needs immediate manual intervention
523,1,Informational market update with no required action
524,1,Informational newsletter with no required action
525,1,Marketing newsletter with no required action
526,1,"Promotional trial expiration notice, no urgent action required"
528,2,"Sender shares personal issue and may need a response, but no urgent deadline"
529,3,Urgent deadline requires immediate action
530,1,Forwarded message appears informational with no clear action required
531,2,"Request to evaluate a distribution service, needs a response but not urgent"
533,1,Informational news with no required action
534,1,"Informational newsletter, no action required"
535,1,Informational comment with no required action
536,1,"Spam email about credit, no action needed"
537,3,Event details for tonight require immediate response
538,1,"Provides schedule information only, no action required"
539,1,"Informational conference announcement, no action required"
540,1,Forwarded chain appears to be spam with no actionable request
541,1,Informational invitation with no urgent action required
543,2,Requires clarification response but not urgent
544,1,Informational email with no urgent action required
545,1,Promotional newsletter with no actionable request
546,1,"Promotional travel deal email, no action required"
547,1,"Informational update about settlement filing, no action required"
549,2,"Request for information, needs a response"
550,1,"Informational health tip, no action required"
552,1,Informational update with no required action
553,1,Generic forwarded warning without actionable request
554,2,Schedule change requires attendees to adjust plans
555,2,Request for comments by Monday
556,1,"Just an update, no immediate action required"
557,2,"Requires a response to arrange a lunch date, but not urgent"
558,2,"The sender asks for information, requiring a response but not urgent"
559,1,Email contains only headers with no clear actionable request
560,1,"Provides meeting call-in details, no action required"
561,3,Schedule download failed and requires immediate manual intervention
563,1,"Informational news article, no action required"
564,1,"Promotional spam with expired offer, no action needed"
565,1,"Email contains no actionable request, only a rude comment"
567,1,"Informational announcement, no action needed"
568,1,Email contains a comment with no clear action or deadline
569,3,Urgent request for binder items before today's deadline and tomorrow's meeting
571,1,No actionable request or urgency detected
572,2,Needs a response about scheduling availability
573,1,Informational update with no required action
574,2,Needs clarification response
576,1,Forwarded informational email with no clear action required
577,1,Informational forward with no action required
578,3,Contains sexual harassment content requiring immediate attention
579,2,Invitation requires a response but no urgent deadline
580,1,"Promotional spam, no action required"
581,2,Requires response to address outstanding issues
582,3,Urgent legislative changes and financial actions require immediate attention
583,2,Requires response but no urgent deadline
584,1,Provides informational data with no required action
585,2,Request for information but not time-sensitive
586,1,Informational update with no immediate action required
587,1,"Informational newsletter, no action required"
588,1,Acknowledgment email with no action required
589,2,Sender missed meeting and may need to coordinate a response
590,1,"Email contains only images and promotional content, no actionable request"
591,2,Request for meeting schedule requires a response but is not urgent
592,1,Email is a forwarded chain with no clear action required
594,2,"Invitation to go kayaking, needs response but not urgent"
595,1,"Simple thank-you note, no action required"
596,1,Informational newsletter with no required action
597,1,"Informational reservation confirmation, no immediate action required"
598,1,Informational FYI with no required action
599,2,Needs a friendly response but not urgent
600,1,Informational update with no required action
601,1,Informational conference announcement with no required action
602,2,Forwarded for review without urgent deadline
603,2,Sender raises concerns needing clarification
604,1,Forwarded informational email with no clear action required
605,1,Enthusiastic forward with no action required
606,1,Promotional spam email with no required action
607,1,"Unsolicited promotional email, no action required"
608,1,"Promotional offer, no action required"
609,1,Promotional content with no actionable request
610,3,Urgent request to arrange a discussion this afternoon
611,1,Informational announcement about organizational changes
612,2,Request for template requires a response but is not urgent
613,1,Promotional newsletter with no required action
614,1,"Forwarded informational summary, no action required"
615,1,Message contains no actionable request or urgency
616,1,"Informational news summary, no action required"
617,1,Email is a forwarded informational message with no clear action required
618,1,Promotional content with no actionable request
619,1,Informational FYI with no required action
620,1,"Informational announcement, no action needed"
621,3,Schedule download failed and requires manual intervention
622,2,"Needs clarification on points calculation, not urgent"
624,1,"Informational daily blessing email, no action required"
626,1,Informational invitation with no urgent action required
627,2,Requires clarification response but not urgent
628,1,Informational news alert with no required action
630,1,Informational email with no required action
631,2,"Sender requests clarification about the Formosa deal, needing a response but not urgent"
632,1,"Informational list of articles, no action required"
633,2,"Request for tour guide assistance in July, not urgent"
634,2,Question about truck windows requires a response but not urgent
635,2,Request to proceed and consider expansion without urgent deadline
636,2,User requests printing suggestions for a satire
637,1,Newsletter content is informational with no required action
638,3,Urgent reminder about today's info sessions
639,2,Needs response to coordinate vacation dates
641,1,"Promotional marketing email, no action required"
642,1,"Spam promotional email, no action required"
643,2,Invitation requires RSVP
644,1,"Apology for not attending, no action required"
645,1,"Informational announcement about event, no action required"
647,1,"Spam promotional email, no action needed"
648,1,Informational summary with no required action
649,1,"FYI request to add to calendar, no urgent action required"
650,1,Promotional newsletter with no required action
651,1,Informational invitation with no required action
652,1,Simple acknowledgment with no required action
653,2,Requires updating confirmation language but not urgent
654,1,"Promotional travel deal email, no action required"
655,2,Sender asks for confirmation of receipt
656,1,"Informal personal comment, no action required"
657,1,"Informational newsletter, no action required"
658,3,Reminder for same-day flu shots requiring immediate action
659,2,Needs clarification and decision on property closing conditions
660,2,Needs response about house options
662,1,Message is a confused personal note with no urgent request
663,1,Informational forward with no action required
664,3,Urgent operational and financial issue requiring immediate attention
665,3,Meeting scheduled for tomorrow requires immediate attendance
666,2,Requires response to report conclusions but not urgent
667,3,Meeting scheduled for tomorrow requires immediate attendance
668,1,"Informational news summary, no action required"
669,1,Press release announcement with no required action
670,1,"Spam advertisement, no action required"
671,3,Urgent operational issue with demand swings and contract changes requires immediate attention
672,1,Email is only informational with no required action
673,1,Informational email with no required action
674,1,"Informational event announcement, no action required"
675,3,Urgent concern about production this weekend requires immediate attention
677,1,Forwarded informational content with no clear action required
679,3,Requires comments by tomorrow for a FERC submission
680,2,Requires follow‑up on committee and peer group actions but not urgent
681,2,Needs clarification and response but no urgent deadline
682,1,It's a routine newsletter notice with no required action
683,2,Needs response but not urgent
684,2,Requires response to coordinate storage move
685,1,"Informational news about lawsuits, no immediate action required"
687,1,Promotional spam with no required action
688,1,"Informational notice about past conference, no action required"
689,1,"Unsolicited promotional email, no action required"
691,1,Email is an informational update with no actionable request
692,1,"Generic solicitation, no urgent action required"
693,2,"Request to email someone and await a callback, not urgent"
695,1,Informational notice about missing meeting
696,1,Informal personal email with no actionable request
699,1,Email is informal with no urgent action required
700,1,"Social event invitation, no urgent action required"
701,1,Informational survey email with no immediate action required
702,3,Schedule download failed and needs immediate manual intervention
703,1,"Just a forwarded cheer, no action required"
704,2,Needs a response to confirm meeting time but not urgent
705,1,Promotional spam with no required action
706,1,"Spam advertisement, no action required"
707,1,Email contains only forwarded humor with no actionable request
708,1,"Promotional spam, no action required"
709,1,"Spam advertisement, no action needed"
710,2,Needs clarification on missing books
711,1,"No action required, just informal update"
712,1,"Subject only mentions a conference call, no actionable content"
713,1,"Promotional travel deal, no action required"
714,1,Informational newsletter with no required action
715,1,"Informational article, no action required"
716,1,"Order confirmation email, no action required"
717,2,Needs a response regarding safety concerns
718,1,"Informational forwarded message, no action required"
719,2,Contains a request for input on committee structure but not time‑critical
720,1,Informational newsletter with no required action
721,3,Schedule download failed and needs immediate manual intervention
722,2,Needs response to address legal issues
723,2,Requires updating contact info and addressing attached data requests
724,1,"Brief informal meeting request, no urgent action required"
725,1,Informational FYI with no required action
727,1,"Informational announcement, no action required"
728,2,Needs same-day password setup for upcoming launch
729,1,Informational event notice with past deadline
730,1,"Informational news alert, no immediate action required"
731,2,Limited tickets require timely purchase
732,2,Request asks for prompt review and advice
733,3,Urgent media payment issue likely to resurface tomorrow
734,1,Email contains only informal thanks with no actionable request
735,1,Informational forward with no action required
737,1,"Email contains only forwarded humorous quotes, no action required"
739,1,"Promotional spam, no action required"
741,1,Informational article with no required action
742,1,"Informational personal anecdote, no action required"
743,2,Needs forwarding to groups
744,3,Urgent action needed before Tuesday to address switching risk
745,3,Upcoming meeting early next week requires immediate attention
746,2,The email requests a response but lacks urgent language
747,1,Informational newsletter with no required action
748,2,Needs response but not urgent
749,2,The email asks for guidance on filing comments and requires a response
750,2,"Request for information about changing cell phones, needs a response but not urgent"
752,1,"Informational event announcement, no action needed"
753,3,Urgent legal accruals needed before arbitration decision
754,2,Needs review and feedback on draft letter
755,1,Informational content with no required action
756,1,Informational FYI with no action required
757,2,User asks for vacation details requiring a response
759,1,Forwarded informational email with no clear action required
760,2,Request for action on timeline and coordination
761,3,"Meeting and documents are due today, requiring immediate action"
762,2,Needs clarification response but not urgent
763,1,Promotional email with no required action
764,1,Informational forwarded email with no clear action required
765,1,Informational update with no urgent action required
766,3,"Urgent request to help a girl, time-sensitive"
767,1,"Spam promotional email, no action needed"
768,1,"Informational update about acquisition, no action required"
769,1,"Email only confirms attendance, no action required"
770,2,Requires review and response but not urgent
771,1,Informational monthly update with no required action
772,1,Promotional informational email with no required action
774,2,"Request to get in touch with Greg, no urgent deadline indicated"
776,2,Needs a response to confirm coffee plans
777,1,Informational forward with no required action
778,1,Promotional email with no required action
779,1,Message contains only a brief 'Please' with no clear action required
781,1,"FYI only, no action needed"
782,1,Informational news article with no required action
783,2,Needs a response to address concerns
784,1,"Informational reply, no action required"
785,1,Promotional content with no required action
786,1,Email is an FYI forward with no clear action required
787,2,Needs a personal response but not urgent
788,1,"Promotional daily verse email, no action required"
789,1,"Informational announcement, no action required"
790,1,Spam promotional email with no required action
791,1,"Promotional donation request, no urgent action required"
793,1,Informational reminder about enrollment with optional response
794,1,"Spam promotional content, no action required"
795,1,FYI message with no required action
796,2,Request for information requiring a response but not urgent
798,1,"Condolence message, no action required"
799,2,Requires a response to arrange flower pickup
800,1,It's a forwarded virus warning with no urgent action required
801,1,"Cancellation notice, no action required"
802,1,"Informational, no action required"
803,1,Informational update with no required action
804,1,Informational update with no immediate action required
805,2,Needs response about lunch plans
806,1,"Email confirms approval, no further action needed"
807,1,FYI forward with no action required
808,2,Meeting notice requires RSVP but is not urgent
809,1,Informational newsletter with no required action
810,1,Promotional email with no required action
811,1,Promotional email with no urgent action required
812,1,"Promotional welcome email, no action required"
813,1,"FYI only, no action required"
814,2,"Requires a response to decide access, but not urgent"
815,1,"Informational newsletter, no action needed"
816,2,Requires discussion but no urgent deadline indicated
817,2,Contains a question requiring a response but not urgent
818,1,"Informational update, no action required"
819,1,"Informational news summary, no action required"
820,1,"Email contains only forwarded jokes, no action required"
821,2,Requires coordination for internal call and contract review
822,1,"Informational news summary, no action required"
823,2,Request for information needed to proceed with deal matching
824,1,Casual personal email with no urgent action required
826,1,"Email only acknowledges information, no action needed"
827,3,Urgent problem requiring immediate phone call
828,1,"Event announcement, no immediate action required"
829,2,Requires forwarding emails and review but not urgent
830,1,Promotional content with no required action
831,2,Requires follow‑up on pending amendment signature
832,1,"Humorous informational content, no action required"
833,2,Internal acquisition discussion requires response but no immediate deadline
834,2,Request for assistance with amendment requires a response but is not urgent
835,3,Schedule download failed and requires immediate manual intervention
836,1,Promotional newsletter with no required action
837,1,"Informational news alert, no action required"
838,1,Informational newsletter with no required action
839,3,Urgent due to time-sensitive regulatory investigation
840,1,"Informational update, no action needed"
841,2,Needs scheduling response but not urgent
842,2,Requires response to review revisions before the deadline
843,2,Membership dues request requires a response but is not urgent
844,1,"Thank-you note, no action required"
845,1,Informational clarification with no required action
846,1,Promotional spam with no required action
848,1,Informational thank-you email with no required action
849,2,Simple meeting request requiring a response
851,2,Requires review and handling of NDA documents
852,1,"Informational newsletter, no action required"
853,1,"Promotional information, no action needed"
854,1,Email contains only forwarding headers with no actionable request
855,1,"Automated fantasy football report, no action needed"
856,2,Invitation requires RSVP before the upcoming event
857,2,Request for decision on conference invitation
858,1,Promotional email with no required action
859,1,"Informational update about football, no action needed"
860,1,Social invitation with no urgent action required
861,1,"Informational update, no action required"
862,1,Email contains only forwarded proprietary notice with no clear action required
863,2,Needs clarification about travel plans
864,3,Urgent action needed to schedule a call for tomorrow
865,1,"No action required, just a personal anecdote"
